"Member Name & ID","Sponsored member & prefix","Reference Visibility","Total Backfile DOIs","Total Current DOIs","Deposits Backfile References","Deposits Current References"
"Informa UK Limited (ID 301)","Informa UK (Encyclopedia of Astronomy and Astrophysics)10.1888","open","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Georg D. W. Callwey GambH and Co., KG)10.3939","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Heldref Publications)10.3200","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Human Frontier Science Program Publishing)10.2976","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (IAHS Ltd.)10.1623","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Informa Healthcare)10.3109","open","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (International Association of Hydraulic Engineering and Research (IAHR))10.3826","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Journal of Maps)10.4113","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Lawrence Erlbaum Associates, Inc)10.2513","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Lawrence Erlbaum Associates, Inc.)10.1207","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Marcel Dekker)10.1081","open","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Multilingual Matters)10.2167","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (National Inquiry Services Center/African Journals Online)10.3187","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Regulatory Affairs)10.3110","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Routledge)10.4324","open","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Taylor & Francis Books)10.1531","open","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK (Taylor & Francis)10.1080","open","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Informa UK(IOP Books)10.1887","open","5600618","760857","true","true"
"Informa UK Limited (ID 301)","International Phycological Society10.2216","open","5600618","760857","true","true"
"Informa UK Limited (ID 301)","JTE Multimedia LLC10.3810","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Landes Bioscience10.4161","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","National Association of Geoscience Teachers10.5408","limited","5600618","760857","true","true"
"Informa UK Limited (ID 301)","Nottingham University Press10.5661","limited","5600618","760857","true","true"
"Informatics Publishing Limited (ID 7656)","Informatics Publishing Limited10.18311","open","2256","454","true","true"
"Informatics Publishing Limited (ID 7656)","Society of Biocontrol Advancement10.18641","limited","2256","454","true","true"
"Information and Publishing Centre Statistics of Russia (ID 19932)","Information and Publishing Centre Statistics of Russia10.34023","open","0","130","false","true"
"Informatization and Communication Journal Editorial Board (ID 20217)","Informatization and Communication Journal Editorial Board10.34219","open","1","140","true","true"
"Infra-M Academic Publishing House (ID 5106)","Infra-M Academic Publishing House10.12737","open","13072","4230","true","true"
"INIF E-DERGI, Inonu University (ID 26703)","INIF E-DERGI, Inonu University10.47107","open","0","7","false","true"
"Inishmore Laser Scientific Publishing Ltd (ID 11943)","Inishmore Laser Scientific Publishing Ltd10.29392","open","99","290","true","true"
"Inje Institute of Democracy and Autonomy (ID 20127)","Inje Institute of Democracy and Autonomy10.34164","open","99","11","true","false"
"Inno Science Press (ID 22835)","Inno Science Press10.36922","open","0","131","false","true"
"Innovative Defense Acquisition Society (ID 19213)","Innovative Defense Acquisition Society10.33530","open","0","6","false","true"
"Innovative Healthcare Institute (ID 22027)","Innovative Healthcare Institute10.36401","open","25","145","true","true"
"Inonu Universitesi Hukuk Fakultesi Dergisi (ID 8929)","Inonu Universitesi Hukuk Fakultesi Dergisi10.21492","open","101","119","true","true"
"Inonu Universitesi Saglik Hizmetleri Meslek Yuksek Okulu Dergisi (ID 19492)","Inonu Universitesi Saglik Hizmetleri Meslek Yuksek Okulu Dergisi10.33715","open","4","150","true","true"
"Inovatus Usluge d.o.o. (ID 7993)","Inovatus Usluge d.o.o.10.18775","open","528","245","true","true"
"INSAM Institute for Contemporary Art, Music and Technology (ID 28434)","INSAM Institute for Contemporary Art, Music and Technology10.51191","open","0","8","false","true"
"Institucion Universitaria Colombo Americana - UNICA (ID 11355)","Institucion Universitaria Colombo Americana - UNICA10.26817","open","95","55","true","true"
"Institucion Universitaria Comando de Educacion y Doctrina (ID 27956)","Institucion Universitaria Comando de Educacion y Doctrina10.47961","open","0","6","false","true"
"Institucion Universitaria Pascual Bravo (ID 18605)","Institucion Universitaria Pascual Bravo10.33131","open","32","14","true","false"
"Institut Ilmu Kesehatan STRADA Indonesia (STRADA Indonesia Health Sciences Institute) (ID 16037)","Institut Ilmu Kesehatan STRADA Indonesia (STRADA Indonesia Health Sciences Institute)10.30994","open","117","567","true","false"
"Institut Shanti Bhuana (ID 25402)","Institut Shanti Bhuana10.46229","open","0","74","false","true"
"Institut za Savremenu Istoriju (ID 11916)","Institut za Savremenu Istoriju10.29362","open","254","75","true","true"
"Institute for African Studies of the Russian Academy of Science (ID 16271)","Institute for African Studies of the Russian Academy of Science10.31132","open","34","85","true","true"
"Institute for Applied and Pure Mathematics (IMPA) (ID 12207)","Institute for Applied and Pure Mathematics (IMPA)10.30757","open","136","112","true","true"
"Institute for Condensed Matter Physics (ID 3454)","Institute for Condensed Matter Physics10.5488","open","1404","115","true","true"
"Institute for Cultural Research of the National Academy of Arts of Ukraine (ID 24535)","Institute for Cultural Research of the National Academy of Arts of Ukraine10.37627","open","25","84","true","true"
"Institute for Development and International Relations (ID 23383)","Institute for Development and International Relations10.37173","open","32","18","true","false"
"Institute for History of Medicine (ID 20567)","Institute for History of Medicine10.35276","open","9","13","true","false"
"Institute for Informatics and Automation Problems - NAS RA (ID 28467)","Institute for Informatics and Automation Problems - NAS RA10.51408","open","29","8","true","true"
"Institute for Law of Science and Technology (ID 17559)","Institute for Law of Science and Technology10.32430","open","260","25","true","true"
"Institute for Medical Radiology and Oncology of NAMS of Ukraine (ID 26350)","Institute for Medical Radiology and Oncology of NAMS of Ukraine10.46879","open","0","37","false","true"
"Institute for Metals Superplasticity Problems of RAS (ID 9481)","Institute for Metals Superplasticity Problems of RAS10.22226","open","649","234","false","true"
"Institute for New Economic Thinking (ID 22621)","Institute for New Economic Thinking10.36687","open","0","52","false","true"
"Institute for Operations Research and the Management Sciences (INFORMS) (ID 109)","Institute for Operations Research and the Management Sciences10.1287","open","32120","8011","true","true"
"Institute for Peace and Unification Studies Seoul National University (ID 20755)","Institute for Peace and Unification Studies Seoul National University10.35369","open","68","25","true","false"
"Institute for Public Health of the National Academy of Medical Sciences of Ukraine (ID 17451)","Institute for Public Health of the National Academy of Medical Sciences of Ukraine10.32402","open","271","160","true","true"
"Institute for Scientific Research and Development (ID 19041)","Institute for Scientific Research and Development10.33807","open","0","62","false","true"
"Institute of Agriculture Science and Technology (ID 11884)","Institute of Agriculture Science and Technology10.29335","open","60","8","true","true"
"Institute of Agrocultural Microbiology and Agro-industrial Manufacture of NAAS of Ukraine (ID 21615)","Institute of Agrocultural Microbiology and Agro-industrial Manufacture of NAAS of Ukraine10.35868","open","36","29","true","true"
"Institute of Agrophysics Polish Academy of Sciences (ID 16399)","Institute of Agrophysics Polish Academy of Sciences10.31545","open","215","152","true","false"
"Institute of Animal Reproduction and Food Research of the Polish Academy of Sciences (ID 17093)","Institute of Animal Reproduction and Food Research of the Polish Academy of Sciences10.31883","open","262","80","true","true"
"Institute of Animal Science of the National Academy of Agrarian Sciences of Ukraine (ID 18276)","Institute of Animal Science of the National Academy of Agrarian Sciences of Ukraine10.32900","open","23","93","false","true"
"Institute of Applied Ecology (ID 7745)","Institute of Applied Ecology10.18470","open","678","142","true","true"
"Institute of Applied Mathematics and Mechanics of the National Academy of Sciences of Ukraine (ID 23242)","Institute of Applied Mathematics and Mechanics of the National Academy of Sciences of Ukraine10.37069","open","17","90","true","true"
"Institute of Archaeology and Ethnology, Polish Academy of Sciences (ID 9945)","Institute of Archaeology and Ethnology, Polish Academy of Sciences10.23858","open","157","366","false","true"
"Institute of Archaeology, National Academy of Sciences of Ukraine (ID 23817)","Institute of Archaeology, National Academy of Sciences of Ukraine10.37445","open","101","166","false","true"
"Institute of Bast Crops of the National Academy of Agrarian Sciences of Ukraine (ID 28157)","Institute of Bast Crops of the National Academy of Agrarian Sciences of Ukraine10.48096","open","18","14","true","true"
"Institute of Biotechnology and Bioindustry, Korea National University of Transportation (ID 23938)","Institute of Biotechnology and Bioindustry, Korea National University of Transportation10.37503","open","0","8","false","true"
"Institute of Cardio Technics - INCART (ID 20709)","Institute of Cardio Technics - INCART10.35336","open","0","72","false","true"
"Institute of Cell Therapy (ID 9788)","Institute of Cell Therapy10.22494","open","108","27","true","false"
"Institute of Certified Specialists (ID 19527)","Institute of Certified Specialists10.33847","open","0","33","false","true"
"Institute of Chemical Engineering, Bulgarian Academy of Sciences (ID 19814)","Institute of Chemical Engineering, Bulgarian Academy of Sciences10.34049","open","0","34","false","true"
"Institute of Contemporary History, Czech Academy of Sciences (ID 28115)","Institute of Contemporary History, Czech Academy of Sciences10.51134","open","184","33","true","true"
"Institute of Criminological and Sociological Research (ID 26318)","Institute of Criminological and Sociological Research10.47152","open","0","32","false","true"
"Institute of Eastern European Research and Consulting (ID 29009)","Institute of Eastern European Research and Consulting10.51599","open","0","49","false","true"
"Institute of Economics, Technologies and Entrepreneurship (ID 23638)","Institute of Economics, Technologies and Entrepreneurship10.37332","open","0","155","false","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Electrical Engineering Press Co. Ltd.10.30941","open","3504020","575507","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers10.1109","closed","3504020","575507","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers10.23919","limited","3504020","575507","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers (IEEE) preprint10.36227","open","3504020","575507","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers (IEEE) StandardDocs10.47962","open","3504020","575507","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Institute of Electrical and Electronics Engineers - Bell Labs10.15325","limited","3504020","575507","true","true"
"Institute of Electrical and Electronics Engineers (IEEE) (ID 263)","Journal of Systems Engineering and Electronics10.21629","limited","3504020","575507","true","true"
"Institute of Engineering Thermophysics of NAS of Ukraine (ID 16524)","Institute of Engineering Thermophysics of NAS of Ukraine10.31472","open","261","86","true","false"
"Institute of Environmental Economics and Sustainable Development of the National Academy of Sciences of Ukraine (ID 23281)","Institute of Environmental Economics and Sustainable Development of the National Academy of Sciences of Ukraine10.37100","open","31","60","true","true"
"Institute of Ethnology and Anthropology RAS (ID 19716)","Institute of Ethnology and Anthropology RAS10.33876","open","1","224","false","true"
"Institute of Experimental Botany (ID 17418)","Institute of Experimental Botany10.32615","open","8608","477","true","true"
"Institute of Experimental Botany (ID 17418)","Institute of Experimental Botany10.32646","open","8608","477","true","true"
